Campo,Valor
Estado del documento,Transmitido satisfactoriamente
Descripción del Estado,DTE transmitido y registrado satisfactoriamente en la DGII.
Tipo de DTE,FACTURA
Fecha y Hora de Generación,2024-08-22 10:08:23
Fecha y Hora de Procesamiento,2024-08-22 10:08:27
Código de Generación,EE5C0582-D866-4E5F-B052-E51CCD172229
Sello de Recepción,2024D694E0A8FE79469BAD32E74B8B0DE449SKXX
Número de Control,DTE-01-S002P001-000000001929041
Monto Total,$45.85
IVA de las operaciones,$5.28
IVA percibido,$0.00
IVA retenido,$0.00
Retención renta,$0.00
Total valores no afectos,$0.00
Total a pagar/Total de operación,$45.85
Otros tributos,$0.00
Documento ajustado,El documento no ha sido ajustado
