sku;trackOrder;;type_id;created_at;order_state_id;Original_URL;Redirection_URL;estado;cometario;fecha comentario;
M1897856202;https://tracking.goboxful.com?shipment;BFTS-3465-202405318188;19847;11/7/2024 09:51;3;BFTS-3465-202405318188;https://c807xpresssv.dispatchtrack.com/track/625316e51e0c4b82ffd01044;Llego a su destino;CCE;3/6/2024 08:03;
M1917243494;https://tracking.goboxful.com?shipment;BFTS-3465-2024070610169;20084;6/7/2024 17:30;4;BFTS-3465-2024070610169;https://c807xpresssv.dispatchtrack.com/track/f81d0907da34b920c6522e6c;Ingresado al sistema;;6/7/2024 17:30;N
M192022779;https://tracking.goboxful.com?shipment;BFTS-3465-202406138891;20131;5/7/2024 09:57;3;BFTS-3465-202406138891;https://c807xpresssv.dispatchtrack.com/track/9632141845e8297ec4b29b4d;Llego a su destino;CCE;19/6/2024 10:57;N
M1928560901;https://tracking.goboxful.com?shipment;BFTS-3465-202407019843;20233;1/7/2024 11:43;3;BFTS-3465-202407019843;https://c807xpresssv.dispatchtrack.com/track/1d4354559d6c9b37f19e71fb;Ingresado al sistema;;1/7/2024 11:43;N
M1931734512;https://tracking.goboxful.com?shipment;BFTS-3465-202407019827;20288;1/7/2024 07:41;4;BFTS-3465-202407019827;https://c807xpresssv.dispatchtrack.com/track/9fd47255070a05a5dfc4d6e5;Ingresado al sistema;;1/7/2024 07:41;N
M1937916375;https://tracking.goboxful.com?shipment;BFTS-3465-202407029935;20359;2/7/2024 14:10;4;BFTS-3465-202407029935;https://c807xpresssv.dispatchtrack.com/track/32437d4a131ba9dcf71b641e;Ingresado al sistema;;2/7/2024 14:10;N
M1938830891;https://tracking.goboxful.com?shipment;BFTS-3465-202407029937;20368;2/7/2024 14:16;4;BFTS-3465-202407029937;https://c807xpresssv.dispatchtrack.com/track/95164e8ab5b784a487cc537b;Ingresado al sistema;;2/7/2024 14:16;N
M1944160468;https://tracking.goboxful.com?shipment;BFTS-3465-202407029895;20436;2/7/2024 09:15;4;BFTS-3465-202407029895;https://c807xpresssv.dispatchtrack.com/track/ca6ebda7ae7ded92061a6227;Ingresado al sistema;;2/7/2024 09:15;N
M1944658822;https://tracking.goboxful.com?shipment;BFTS-3465-202407019862;20441;1/7/2024 15:18;4;BFTS-3465-202407019862;https://c807xpresssv.dispatchtrack.com/track/03f8e84d53127da0d815b63f;Ingresado al sistema;;1/7/2024 15:18;N
M1944855680;https://tracking.goboxful.com?shipment;BFTS-3465-202407019831;20444;1/7/2024 09:27;3;BFTS-3465-202407019831;https://c807xpresssv.dispatchtrack.com/track/e380e58fec32c63b6822a7ff;Ingresado al sistema;;1/7/2024 09:27;N
