Original_URL,Redirection_URL
BFTS-3465-2024090113613,https://c807xpresssv.dispatchtrack.com/track/06637edb5fd21574ee2d2ecc
BFTS-3465-2024090113614,https://c807xpresssv.dispatchtrack.com/track/b182986ea7e582a8954fa093
BFTS-3465-2024090113615,https://c807xpresssv.dispatchtrack.com/track/ba988792c3f586763d29fb9f
BFTS-3465-2024090113619,https://c807xpresssv.dispatchtrack.com/track/6824da27804c3e84dd173431
BFTS-3465-2024090113620,https://c807xpresssv.dispatchtrack.com/track/30d0cf492dc3dc93e02936b1
BFTS-3465-2024090213621,https://c807xpresssv.dispatchtrack.com/track/ca8be7b99aab9edc69961911
BFTS-3465-2024090213622,https://c807xpresssv.dispatchtrack.com/track/0b6c2a8940bbf909134a6d52
BFTS-3465-2024090213623,https://c807xpresssv.dispatchtrack.com/track/7ea5220a9a44966c6cc9bc55
BFTS-3465-2024090213626,https://c807xpresssv.dispatchtrack.com/track/424c9d1754231b02d5ddf10f
BFTS-3465-2024090213628,https://c807xpresssv.dispatchtrack.com/track/1744d150537a31724d2f098b
BFTS-3465-2024090213636,https://c807xpresssv.dispatchtrack.com/track/648736b9a048bae5931dab09
BFTS-3465-2024090213640,https://c807xpresssv.dispatchtrack.com/track/6e745afe79883770cc9f46a4
BFTS-3465-2024090213641,https://c807xpresssv.dispatchtrack.com/track/d8890d7d61c9904e4f1ae666
BFTS-3465-2024090213650,https://c807xpresssv.dispatchtrack.com/track/d02bbcc4305a2d244de5ce4b
BFTS-3465-2024090213651,https://c807xpresssv.dispatchtrack.com/track/83a0c001db6ed7227731f038
BFTS-3465-2024090213655,https://c807xpresssv.dispatchtrack.com/track/f8c84a943914c4923da5ec16
BFTS-3465-2024090213675,https://c807xpresssv.dispatchtrack.com/track/237c2ef11f3b49d1047d147e
BFTS-3465-2024090213676,https://c807xpresssv.dispatchtrack.com/track/642b8a6b0baf43e196c593f6
BFTS-3465-2024090213680,https://c807xpresssv.dispatchtrack.com/track/d09371a8bc5ad18353f89beb
BFTS-3465-2024090213681,https://c807xpresssv.dispatchtrack.com/track/c00c9dfd152f1eec05e1c23e
BFTS-3465-2024090213695,https://c807xpresssv.dispatchtrack.com/track/c7b2fadb7ae3b5b3438295ef
BFTS-3465-2024090313698,https://c807xpresssv.dispatchtrack.com/track/7f2774f3e3509c5f7728a45a
BFTS-3465-2024090313723,https://c807xpresssv.dispatchtrack.com/track/3cb4cb547191455c6021c0df
BFTS-3465-2024090313726,https://c807xpresssv.dispatchtrack.com/track/e9178a8e9e7639e4849efd31
BFTS-3465-2024090313741,https://c807xpresssv.dispatchtrack.com/track/842c7a23bce986e5c99dcd8b
BFTS-3465-2024090313742,https://c807xpresssv.dispatchtrack.com/track/d90a81ab8db22dcf37279c41
BFTS-3465-2024090313744,https://c807xpresssv.dispatchtrack.com/track/d04ab8853e99a4b9cb57bbce
BFTS-3465-2024090413759,https://c807xpresssv.dispatchtrack.com/track/33b68c5a8352489cbefe2299
BFTS-3465-2024090413761,https://c807xpresssv.dispatchtrack.com/track/2296aa88e5f5b0be90ef3806
BFTS-3465-2024090413796,https://c807xpresssv.dispatchtrack.com/track/05f12e332fa2f7d473d8ce53
BFTS-3465-2024090413798,https://c807xpresssv.dispatchtrack.com/track/22fb68f701fb269441ed02c8
BFTS-3465-2024090413803,https://c807xpresssv.dispatchtrack.com/track/5240274ee40c246cf86e93f4
BFTS-3465-2024090413804,https://c807xpresssv.dispatchtrack.com/track/da7bd34a02a405302c4ca265
BFTS-3465-2024090513813,https://c807xpresssv.dispatchtrack.com/track/c984a5969211bb9fafab5e60
BFTS-3465-2024090513814,https://c807xpresssv.dispatchtrack.com/track/80c36a3b2abd28ab3eb51fd3
BFTS-3465-2024090513815,https://c807xpresssv.dispatchtrack.com/track/a3c781fae03a74e8245ae6c1
BFTS-3465-2024090513831,https://c807xpresssv.dispatchtrack.com/track/1032791bd992302dd3bc8aea
BFTS-3465-2024090513833,https://c807xpresssv.dispatchtrack.com/track/efe27bb7ba0f3d605acb81a4
BFTS-3465-2024090513837,https://c807xpresssv.dispatchtrack.com/track/885a62e150bf53e4b6d2a401
BFTS-3465-2024090513839,https://c807xpresssv.dispatchtrack.com/track/88c235616f62cf0dfa6737ff
BFTS-3465-2024090613867,https://c807xpresssv.dispatchtrack.com/track/be4c4e87504220bb009a43c7
BFTS-3465-2024090613884,https://c807xpresssv.dispatchtrack.com/track/76dedcd3c54480ba1a12003f
BFTS-3465-2024090613885,https://c807xpresssv.dispatchtrack.com/track/7fae82262e334fc8385ffc21
