sku,trackOrder,id,created_at,order_state_id,total
M2401202406013552522,https://tracking.goboxful.com?shipment=BFTS-3465-202401261956,18018,"2024-01-26 09:44:38",4,8.99
M2401202406013552522,https://tracking.goboxful.com?shipment=BFTS-3465-202402062570,18018,"2024-02-06 16:16:48",4,8.99
M06022024060252691,https://tracking.goboxful.com?shipment=BFTS-3465-202402062578,18228,"2024-02-06 18:46:00",4,21.99
M0602202410025453024,https://tracking.goboxful.com?shipment=BFTS-3465-202402082709,18226,"2024-02-08 17:02:13",4,13.99
M0602202410025453024,https://tracking.goboxful.com?shipment=BFTS-3465-202402142955,18226,"2024-02-14 11:46:58",4,13.99
OR-7709412,https://tracking.goboxful.com?shipment=BFTS-3465-202402163099,18425,"2024-02-16 15:45:04",4,16.96
OR-7709412,https://tracking.goboxful.com?shipment=BFTS-3465-202402163101,18425,"2024-02-16 16:05:39",4,16.96
M06022024060252691,https://tracking.goboxful.com?shipment=BFTS-3465-202402263679,18228,"2024-02-26 15:22:45",4,21.99
M181799613,https://tracking.goboxful.com?shipment=BFTS-3465-202403064140,18671,"2024-03-06 12:00:48",4,8.99
OR-5507231,https://tracking.goboxful.com?shipment=BFTS-3465-202403114310,18724,"2024-03-11 13:00:04",4,22.91
OR-5507231,https://tracking.goboxful.com?shipment=BFTS-3465-202403114312,18724,"2024-03-11 13:02:14",4,22.91
M184963794,https://tracking.goboxful.com?shipment=BFTS-3465-202404246291,19170,"2024-04-24 15:56:38",4,7.50
M1849753113,https://tracking.goboxful.com?shipment=BFTS-3465-202404246293,19171,"2024-04-24 16:12:35",4,16.50
M1849753113,https://tracking.goboxful.com?shipment=BFTS-3465-202404246295,19171,"2024-04-24 16:21:11",4,16.50
M1852351056,https://tracking.goboxful.com?shipment=BFTS-3465-202404296441,19206,"2024-04-29 00:05:20",4,23.50
M1852351056,https://tracking.goboxful.com?shipment=BFTS-3465-202404296442,19206,"2024-04-29 00:30:12",4,23.50
M185607916,https://tracking.goboxful.com?shipment=BFTS-3465-202405026592,19245,"2024-05-02 11:00:56",4,21.50
M185723794,https://tracking.goboxful.com?shipment=BFTS-3465-202405026620,19263,"2024-05-02 15:46:12",4,8.50
M1866432913,https://tracking.goboxful.com?shipment=BFTS-3465-202405137041,19406,"2024-05-13 10:05:59",4,53.50
M1866432913,https://tracking.goboxful.com?shipment=BFTS-3465-202405137042,19406,"2024-05-13 10:08:24",4,53.50
M187549973,https://tracking.goboxful.com?shipment=BFTS-3465-202405207505,19526,"2024-05-20 22:58:05",4,28.50
M187549973,https://tracking.goboxful.com?shipment=BFTS-3465-202405207507,19526,"2024-05-20 23:06:58",4,28.50
M1875456586,https://tracking.goboxful.com?shipment=BFTS-3465-202405207508,19529,"2024-05-20 23:21:22",4,8.50
M1875456586,https://tracking.goboxful.com?shipment=BFTS-3465-202405207509,19529,"2024-05-20 23:24:13",4,8.50
M1866432913,https://tracking.goboxful.com?shipment=BFTS-3465-202405237608,19406,"2024-05-23 08:14:53",4,53.50
M1877912465,https://tracking.goboxful.com?shipment=BFTS-3465-202405237623,19565,"2024-05-23 10:30:06",4,6.00
M1877912465,https://tracking.goboxful.com?shipment=BFTS-3465-202405237624,19565,"2024-05-23 10:30:57",4,6.00
M1878856939,https://tracking.goboxful.com?shipment=BFTS-3465-202405237670,19575,"2024-05-23 17:27:35",4,11.50
M188338505,https://tracking.goboxful.com?shipment=BFTS-3465-202405277837,19638,"2024-05-27 08:22:37",4,11.50
M188338505,https://tracking.goboxful.com?shipment=BFTS-3465-202405277838,19638,"2024-05-27 08:44:34",4,11.50
M1890356939,https://tracking.goboxful.com?shipment=BFTS-3465-202405288005,19734,"2024-05-28 20:39:22",4,21.50
M1891157902,https://tracking.goboxful.com?shipment=BFTS-3465-202405288010,19748,"2024-05-28 21:32:51",4,8.50
M1891157902,https://tracking.goboxful.com?shipment=BFTS-3465-202405288011,19748,"2024-05-28 21:34:04",4,8.50
M189238528,https://tracking.goboxful.com?shipment=BFTS-3465-202405298017,19770,"2024-05-29 06:34:34",4,13.50
M1891157902,https://tracking.goboxful.com?shipment=BFTS-3465-202405298028,19748,"2024-05-29 10:51:47",4,8.50
M1882943494,https://tracking.goboxful.com?shipment=BFTS-3465-202405298058,19633,"2024-05-29 14:46:39",4,13.50
M1902058887,https://tracking.goboxful.com?shipment=BFTS-3465-202406028232,19903,"2024-06-02 16:19:26",4,13.50
M1902058887,https://tracking.goboxful.com?shipment=BFTS-3465-202406038251,19903,"2024-06-03 08:21:38",4,13.50
M1904142091,https://tracking.goboxful.com?shipment=BFTS-3465-202406038356,19930,"2024-06-03 21:48:05",4,33.50
M1882943494,https://tracking.goboxful.com?shipment=BFTS-3465-202406048377,19633,"2024-06-04 11:34:04",4,13.50
M191779602,https://tracking.goboxful.com?shipment=BFTS-3465-202406118761,20090,"2024-06-11 13:35:05",4,68.50
M191779602,https://tracking.goboxful.com?shipment=BFTS-3465-202406118762,20090,"2024-06-11 13:36:04",4,68.50
M191779602,https://tracking.goboxful.com?shipment=BFTS-3465-202406148965,20090,"2024-06-14 08:54:30",4,68.50
M191779602,https://tracking.goboxful.com?shipment=BFTS-3465-202406148966,20090,"2024-06-14 08:54:30",4,68.50
M1962260468,https://tracking.goboxful.com?shipment=BFTS-3465-2024071110453,20661,"2024-07-11 11:43:58",4,10.50
