COHORTGROUPO,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
2023-06,1.0,0.20866141732283464,0.15748031496062992,0.12007874015748031,0.11023622047244094,0.10236220472440945,0.11811023622047244,0.07086614173228346,0.03346456692913386,0.04921259842519685,0.02952755905511811,0.04133858267716536
2023-07,,1.0,0.10344827586206896,0.07471264367816093,0.06896551724137931,0.06321839080459771,0.044061302681992334,0.0421455938697318,0.022988505747126436,0.01532567049808429,0.013409961685823755,0.017241379310344827
2023-08,,,1.0,0.07886435331230283,0.05993690851735016,0.08201892744479496,0.04416403785488959,0.031545741324921134,0.01892744479495268,0.006309148264984227,0.0031545741324921135,0.012618296529968454
2023-09,,,,1.0,0.09415584415584416,0.06818181818181818,0.05519480519480519,0.022727272727272728,0.00974025974025974,0.016233766233766232,0.016233766233766232,0.01948051948051948
2023-10,,,,,1.0,0.06276150627615062,0.058577405857740586,0.029288702928870293,0.03765690376569038,0.016736401673640166,0.02092050209205021,0.02092050209205021
2023-11,,,,,,1.0,0.04984423676012461,0.028037383177570093,0.009345794392523364,0.018691588785046728,0.012461059190031152,0.01557632398753894
2023-12,,,,,,,1.0,0.042735042735042736,0.01282051282051282,0.008547008547008548,0.017094017094017096,0.008547008547008548
2024-01,,,,,,,,1.0,0.05504587155963303,0.027522935779816515,0.027522935779816515,0.06422018348623854
2024-02,,,,,,,,,1.0,0.02857142857142857,,
2024-03,,,,,,,,,,1.0,0.05813953488372093,0.011627906976744186
2024-04,,,,,,,,,,,1.0,0.0547945205479452
2024-05,,,,,,,,,,,,1.0
