COHORTGROUPO,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
2023-12,133.0,40.0,31.0,24.0,20.0,34.0,21.0,21.0,9.0,12.0,16.0,15.0
2024-01,,77.0,21.0,14.0,9.0,10.0,8.0,7.0,6.0,7.0,11.0,8.0
2024-02,,,47.0,15.0,11.0,15.0,14.0,9.0,6.0,4.0,8.0,2.0
2024-03,,,,89.0,20.0,18.0,20.0,11.0,5.0,7.0,11.0,9.0
2024-04,,,,,81.0,21.0,20.0,16.0,11.0,9.0,12.0,5.0
2024-05,,,,,,175.0,47.0,42.0,20.0,23.0,25.0,17.0
2024-06,,,,,,,173.0,40.0,22.0,24.0,26.0,17.0
2024-07,,,,,,,,116.0,23.0,27.0,24.0,13.0
2024-08,,,,,,,,,87.0,20.0,21.0,11.0
2024-09,,,,,,,,,,142.0,35.0,20.0
2024-10,,,,,,,,,,,169.0,29.0
2024-11,,,,,,,,,,,,105.0
