PERIODO,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
2023-06,1.0,,,,,,,,,,,
2023-07,0.20526315789473684,1.0,,,,,,,,,,
2023-08,0.1543859649122807,0.10746812386156648,1.0,,,,,,,,,
2023-09,0.12105263157894737,0.07285974499089254,0.08985507246376812,1.0,,,,,,,,
2023-10,0.10526315789473684,0.07103825136612021,0.06086956521739131,0.090625,1.0,,,,,,,
2023-11,0.10350877192982456,0.060109289617486336,0.0782608695652174,0.075,0.07569721115537849,1.0,,,,,,
2023-12,0.11052631578947368,0.04918032786885246,0.0463768115942029,0.059375,0.05976095617529881,0.05405405405405406,1.0,,,,,
2024-01,0.07368421052631578,0.03825136612021858,0.034782608695652174,0.021875,0.03187250996015936,0.036036036036036036,0.03765690376569038,1.0,,,,
2024-02,0.043859649122807015,0.02185792349726776,0.02318840579710145,0.00625,0.035856573705179286,0.009009009009009009,0.016736401673640166,0.03636363636363636,1.0,,,
2024-03,0.0456140350877193,0.02185792349726776,0.011594202898550725,0.01875,0.01593625498007968,0.024024024024024024,0.008368200836820083,0.01818181818181818,0.014285714285714285,1.0,,
2024-04,0.03333333333333333,0.012750455373406194,0.002898550724637681,0.01875,0.0199203187250996,0.012012012012012012,0.012552301255230125,0.02727272727272727,,0.043010752688172046,1.0,
2024-05,0.042105263157894736,0.020036429872495445,0.011594202898550725,0.01875,0.02390438247011952,0.009009009009009009,0.008368200836820083,0.06363636363636363,,0.021505376344086023,0.02631578947368421,1.0
