COHORTGROUPO,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
2023-12,1.0,0.3007518796992481,0.23308270676691728,0.18045112781954886,0.15037593984962405,0.2556390977443609,0.15789473684210525,0.15789473684210525,0.06766917293233082,0.09022556390977443,0.12030075187969924,0.11278195488721804
2024-01,,1.0,0.2727272727272727,0.18181818181818182,0.11688311688311688,0.12987012987012986,0.1038961038961039,0.09090909090909091,0.07792207792207792,0.09090909090909091,0.14285714285714285,0.1038961038961039
2024-02,,,1.0,0.3191489361702128,0.23404255319148937,0.3191489361702128,0.2978723404255319,0.19148936170212766,0.1276595744680851,0.0851063829787234,0.1702127659574468,0.0425531914893617
2024-03,,,,1.0,0.2247191011235955,0.20224719101123595,0.2247191011235955,0.12359550561797752,0.056179775280898875,0.07865168539325842,0.12359550561797752,0.10112359550561797
2024-04,,,,,1.0,0.25925925925925924,0.24691358024691357,0.19753086419753085,0.13580246913580246,0.1111111111111111,0.14814814814814814,0.06172839506172839
2024-05,,,,,,1.0,0.26857142857142857,0.24,0.11428571428571428,0.13142857142857142,0.14285714285714285,0.09714285714285714
2024-06,,,,,,,1.0,0.23121387283236994,0.12716763005780346,0.13872832369942195,0.15028901734104047,0.09826589595375723
2024-07,,,,,,,,1.0,0.19827586206896552,0.23275862068965517,0.20689655172413793,0.11206896551724138
2024-08,,,,,,,,,1.0,0.22988505747126436,0.2413793103448276,0.12643678160919541
2024-09,,,,,,,,,,1.0,0.24647887323943662,0.14084507042253522
2024-10,,,,,,,,,,,1.0,0.17159763313609466
2024-11,,,,,,,,,,,,1.0
