COHORTGROUPO,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
2023-12,364.0,54.0,29.0,27.0,21.0,25.0,23.0,20.0,15.0,20.0,23.0,21.0
2024-01,,156.0,12.0,11.0,9.0,12.0,13.0,7.0,4.0,8.0,7.0,6.0
2024-02,,,88.0,5.0,4.0,2.0,2.0,5.0,1.0,1.0,7.0,3.0
2024-03,,,,100.0,6.0,1.0,6.0,3.0,5.0,4.0,3.0,2.0
2024-04,,,,,82.0,7.0,7.0,4.0,2.0,2.0,,2.0
2024-05,,,,,,201.0,15.0,7.0,4.0,6.0,7.0,2.0
2024-06,,,,,,,283.0,24.0,9.0,8.0,9.0,4.0
2024-07,,,,,,,,227.0,7.0,9.0,10.0,7.0
2024-08,,,,,,,,,136.0,10.0,5.0,4.0
2024-09,,,,,,,,,,140.0,13.0,3.0
2024-10,,,,,,,,,,,187.0,15.0
2024-11,,,,,,,,,,,,84.0
