PERIODO,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
2023-06,570.0,,,,,,,,,,,
2023-07,117.0,549.0,,,,,,,,,,
2023-08,88.0,59.0,345.0,,,,,,,,,
2023-09,69.0,40.0,31.0,320.0,,,,,,,,
2023-10,60.0,39.0,21.0,29.0,251.0,,,,,,,
2023-11,59.0,33.0,27.0,24.0,19.0,333.0,,,,,,
2023-12,63.0,27.0,16.0,19.0,15.0,18.0,239.0,,,,,
2024-01,42.0,21.0,12.0,7.0,8.0,12.0,9.0,110.0,,,,
2024-02,25.0,12.0,8.0,2.0,9.0,3.0,4.0,4.0,70.0,,,
2024-03,26.0,12.0,4.0,6.0,4.0,8.0,2.0,2.0,1.0,93.0,,
2024-04,19.0,7.0,1.0,6.0,5.0,4.0,3.0,3.0,,4.0,76.0,
2024-05,24.0,11.0,4.0,6.0,6.0,3.0,2.0,7.0,,2.0,2.0,193.0
