cohort_group,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
2023-11,469.0,68.0,54.0,44.0,37.0,45.0,40.0,47.0,34.0,28.0,27.0,32.0
2023-12,,242.0,22.0,18.0,16.0,17.0,15.0,21.0,14.0,6.0,11.0,8.0
2024-01,,,214.0,39.0,31.0,20.0,25.0,21.0,13.0,11.0,13.0,13.0
2024-02,,,,228.0,34.0,35.0,25.0,20.0,16.0,14.0,14.0,10.0
2024-03,,,,,287.0,32.0,29.0,24.0,19.0,15.0,15.0,9.0
2024-04,,,,,,784.0,145.0,62.0,43.0,34.0,19.0,18.0
2024-05,,,,,,,969.0,137.0,61.0,52.0,35.0,33.0
2024-06,,,,,,,,939.0,103.0,59.0,42.0,38.0
2024-07,,,,,,,,,524.0,80.0,38.0,29.0
2024-08,,,,,,,,,,937.0,98.0,51.0
2024-09,,,,,,,,,,,573.0,65.0
2024-10,,,,,,,,,,,,449.0
