cohort_group,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
2023-12,281.0,41.0,31.0,30.0,33.0,29.0,33.0,24.0,16.0,21.0,22.0,17.0
2024-01,,249.0,58.0,46.0,33.0,37.0,35.0,23.0,20.0,22.0,22.0,20.0
2024-02,,,240.0,35.0,38.0,28.0,24.0,17.0,16.0,16.0,12.0,12.0
2024-03,,,,294.0,33.0,31.0,25.0,20.0,15.0,15.0,9.0,10.0
2024-04,,,,,796.0,148.0,64.0,44.0,34.0,20.0,20.0,15.0
2024-05,,,,,,975.0,139.0,62.0,53.0,36.0,34.0,26.0
2024-06,,,,,,,951.0,108.0,62.0,43.0,40.0,29.0
2024-07,,,,,,,,529.0,80.0,38.0,30.0,27.0
2024-08,,,,,,,,,940.0,100.0,51.0,37.0
2024-09,,,,,,,,,,574.0,65.0,29.0
2024-10,,,,,,,,,,,450.0,55.0
2024-11,,,,,,,,,,,,196.0
