COHORTGROUPO,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
2023-12,251.0,39.0,22.0,23.0,16.0,18.0,17.0,15.0,11.0,18.0,20.0,17.0
2024-01,,171.0,16.0,14.0,12.0,13.0,14.0,10.0,5.0,9.0,8.0,7.0
2024-02,,,91.0,5.0,4.0,3.0,4.0,5.0,2.0,1.0,8.0,5.0
2024-03,,,,101.0,7.0,1.0,6.0,3.0,5.0,4.0,3.0,2.0
2024-04,,,,,83.0,8.0,7.0,4.0,2.0,2.0,,2.0
2024-05,,,,,,205.0,16.0,9.0,6.0,7.0,8.0,3.0
2024-06,,,,,,,285.0,24.0,9.0,8.0,9.0,4.0
2024-07,,,,,,,,227.0,7.0,9.0,10.0,7.0
2024-08,,,,,,,,,136.0,10.0,5.0,4.0
2024-09,,,,,,,,,,140.0,13.0,3.0
2024-10,,,,,,,,,,,187.0,15.0
2024-11,,,,,,,,,,,,84.0
