COHORTGROUPO,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
2023-11,1.0,0.38461538461538464,0.2923076923076923,0.2,0.15384615384615385,0.11538461538461539,0.16153846153846155,0.11538461538461539,0.1,0.06923076923076923,0.08461538461538462,0.11538461538461539
2023-12,,1.0,0.18681318681318682,0.12087912087912088,0.13186813186813187,0.14285714285714285,0.17582417582417584,0.12087912087912088,0.12087912087912088,0.04395604395604396,0.04395604395604396,0.07692307692307693
2024-01,,,1.0,0.2903225806451613,0.1935483870967742,0.0967741935483871,0.16129032258064516,0.0967741935483871,0.08064516129032258,0.04838709677419355,0.0967741935483871,0.12903225806451613
2024-02,,,,1.0,0.3409090909090909,0.22727272727272727,0.3409090909090909,0.29545454545454547,0.20454545454545456,0.11363636363636363,0.09090909090909091,0.18181818181818182
2024-03,,,,,1.0,0.2289156626506024,0.21686746987951808,0.24096385542168675,0.13253012048192772,0.060240963855421686,0.08433734939759036,0.13253012048192772
2024-04,,,,,,1.0,0.2564102564102564,0.2564102564102564,0.20512820512820512,0.14102564102564102,0.11538461538461539,0.15384615384615385
2024-05,,,,,,,1.0,0.27167630057803466,0.24277456647398843,0.11560693641618497,0.1329479768786127,0.14450867052023122
2024-06,,,,,,,,1.0,0.22807017543859648,0.1286549707602339,0.13450292397660818,0.14619883040935672
2024-07,,,,,,,,,1.0,0.19827586206896552,0.23275862068965517,0.20689655172413793
2024-08,,,,,,,,,,1.0,0.22988505747126436,0.2413793103448276
2024-09,,,,,,,,,,,1.0,0.24113475177304963
2024-10,,,,,,,,,,,,1.0
