,usuario,Finicio,Ffinal,diferencia_entre_fechas,frecuencia_compra,desviacion_estandar,cantidad_elementos
0,1.0,2021-10-27,2024-10-08,"[13, 1, 1, 2, 1, 1, 4, 2, 5, 10, 1, 10, 1, 3, 1, 14, 22, 16, 27, 4, 2, 5, 2, 7, 1, 1, 5, 5, 6, 2, 1, 1, 1, 2, 3, 4, 4, 1, 4, 2, 3, 1, 1, 1, 4, 7, 1, 1, 2, 3, 1, 3, 3, 1, 1, 2, 6, 6, 8, 5, 3, 5, 12, 15, 1, 1, 5, 1, 1, 7, 1, 1, 2, 10, 2, 3, 2, 1, 1, 2, 3, 2, 1, 5, 7, 1, 10, 1, 9, 1, 5, 5, 1, 1, 1, 4, 1, 16, 5, 2, 3, 25, 3, 7, 20, 2, 3, 4, 2, 2, 4, 10, 6, 12, 1, 1, 3, 9, 7, 5, 1, 1, 3, 4, 2, 4, 6, 2, 10, 1, 2, 1, 2, 1, 4, 6, 1, 1, 1, 1, 2, 1, 2, 5, 2, 1, 1, 4, 6, 4, 4, 1, 1, 4, 2, 1, 4, 1, 1, 4, 4, 5, 9, 11, 22, 1, 1, 1, 2, 28, 1, 1, 1, 1, 1, 10, 1, 1, 13, 1, 4, 12, 5, 26, 2, 1, 2, 2, 6, 4, 10, 15, 3, 20, 2, 1, 9, 2, 6, 1, 7, 6, 1, 4, 1, 1, 1, 7, 25, 3, 8, 2, 3, 1, 11, 4, 3, 2, 29, 37, 24]",4.873303167420814,6.029509817273399,221
1,28.0,2022-02-17,2024-07-27,"[35, 69, 301, 1, 43, 148, 128, 142, 1, 23]",89.1,88.33510061125192,10
2,41.0,2022-04-15,2024-09-20,"[15, 184, 6, 20, 10, 14, 2, 5, 134, 15, 1, 21, 3, 76, 36, 45, 20, 45, 3, 15, 6, 5, 15, 3, 21, 41, 56, 5, 67]",30.655172413793103,40.70268639958162,29
3,44.0,2021-11-25,2021-11-25,[],,,0
4,75.0,2023-03-21,2023-03-24,[3],3.0,0.0,1
5,83.0,2022-02-04,2024-10-07,"[21, 25, 126, 275, 6, 5, 36, 3, 53, 1, 1, 2, 10, 138, 1, 8, 65, 21, 4, 7, 7, 8, 7, 14, 7, 15, 5, 16, 21, 7, 14, 2, 3, 23, 16, 3]",27.11111111111111,51.809897047753005,36
6,89.0,2022-03-17,2024-10-18,"[1, 32, 3, 6, 32, 28, 351, 6, 44, 30, 40, 6, 17, 1, 3, 3, 31, 1, 1, 1, 28, 21, 14, 38, 36, 9, 5, 1, 10, 13, 12, 13, 4, 4, 20, 15, 10, 5, 10, 15, 1, 3, 21, 1]",21.5,51.77069195456581,44
7,100.0,2022-02-28,2022-08-11,[164],164.0,0.0,1
8,109.0,2022-02-12,2024-04-01,"[50, 169, 61, 9, 184, 157, 1, 148]",97.375,70.19426169566854,8
9,116.0,2022-11-15,2022-11-15,[],,,0
10,129.0,2023-12-13,2023-12-21,[8],8.0,0.0,1
11,132.0,2022-02-04,2022-07-27,"[41, 132]",86.5,45.5,2
12,142.0,2022-12-16,2023-01-16,[31],31.0,0.0,1
13,164.0,2024-09-04,2024-09-04,[],,,0
14,244.0,2022-04-30,2022-04-30,[],,,0
15,295.0,2022-05-13,2024-04-10,[698],698.0,0.0,1
16,530.0,2022-04-23,2023-11-27,"[208, 328, 47]",194.33333333333334,115.12408764266301,3
17,567.0,2023-05-31,2023-05-31,[],,,0
18,586.0,2022-01-11,2022-01-11,[],,,0
19,589.0,2021-11-17,2021-11-17,[],,,0
20,597.0,2021-10-27,2021-11-13,[17],17.0,0.0,1
21,601.0,2023-02-24,2023-10-16,[234],234.0,0.0,1
22,609.0,2021-10-27,2021-10-27,[],,,0
23,612.0,2021-12-14,2021-12-14,[],,,0
24,623.0,2022-11-19,2022-11-19,[],,,0
25,648.0,2021-11-23,2024-03-06,"[355, 44, 149, 7, 91, 188]",139.0,113.95174417269794,6
26,670.0,2022-03-17,2024-04-29,"[42, 153, 23, 21, 32, 42, 3, 14, 85, 39, 29, 15, 25, 30, 4, 92, 125]",45.529411764705884,41.542490858310394,17
27,673.0,2022-10-12,2022-10-12,[],,,0
28,691.0,2022-08-17,2022-10-20,[64],64.0,0.0,1
29,698.0,2021-12-21,2021-12-21,[],,,0
30,709.0,2021-10-22,2021-10-22,[],,,0
31,710.0,2021-10-24,2021-10-24,[],,,0
32,715.0,2021-12-12,2021-12-19,[7],7.0,0.0,1
33,718.0,2021-10-25,2021-10-25,[],,,0
34,720.0,2021-10-26,2021-10-26,[],,,0
35,721.0,2021-10-26,2021-10-26,[],,,0
36,731.0,2021-10-30,2021-10-30,[],,,0
37,740.0,2021-10-31,2021-10-31,[],,,0
38,743.0,2021-11-01,2021-12-09,[38],38.0,0.0,1
39,749.0,2022-03-23,2022-03-23,[],,,0
40,753.0,2023-07-01,2023-08-04,[34],34.0,0.0,1
41,759.0,2021-11-05,2021-11-05,[],,,0
42,762.0,2021-11-05,2021-11-05,[],,,0
43,763.0,2022-09-24,2022-10-14,[20],20.0,0.0,1
44,764.0,2024-01-31,2024-06-12,"[132, 1]",66.5,65.5,2
45,788.0,2021-12-21,2021-12-21,[],,,0
46,815.0,2022-02-23,2022-02-23,[],,,0
47,823.0,2021-11-17,2021-11-17,[],,,0
48,854.0,2021-12-18,2021-12-18,[],,,0
49,857.0,2021-11-11,2021-11-11,[],,,0
50,860.0,2021-11-19,2021-11-19,[],,,0
51,882.0,2021-11-12,2021-11-12,[],,,0
52,889.0,2021-11-11,2021-11-11,[],,,0
53,946.0,2021-11-12,2021-11-12,[],,,0
54,953.0,2022-04-18,2022-04-18,[],,,0
55,957.0,2021-12-07,2024-01-25,[779],779.0,0.0,1
56,959.0,2021-12-20,2021-12-20,[],,,0
57,986.0,2022-06-01,2022-06-01,[],,,0
58,1011.0,2021-11-13,2021-11-13,[],,,0
59,1017.0,2023-06-14,2023-06-14,[],,,0
60,1023.0,2021-11-13,2021-11-13,[],,,0
61,1036.0,2024-06-20,2024-06-20,[],,,0
62,1046.0,2024-06-12,2024-06-12,[],,,0
63,1065.0,2021-12-16,2021-12-16,[],,,0
64,1067.0,2021-11-13,2021-11-13,[],,,0
65,1075.0,2021-11-19,2021-11-19,[],,,0
66,1081.0,2021-11-14,2021-11-14,[],,,0
67,1098.0,2021-11-14,2021-11-14,[],,,0
68,1100.0,2021-11-29,2021-11-29,[],,,0
69,1113.0,2022-04-23,2024-02-14,"[15, 1, 18, 55, 93, 8, 12, 7, 15, 3, 2, 2, 5, 7, 1, 6, 3, 5, 11, 1, 1, 2, 3, 6, 8, 4, 8, 1, 15, 22, 9, 9, 9, 5, 6, 25, 12, 14, 1, 1, 6, 3, 8, 8, 17, 6, 4, 1, 30, 4, 36, 13, 7, 59, 29]",12.036363636363637,16.216673390919873,55
70,1142.0,2021-11-25,2021-11-25,[],,,0
71,1144.0,2021-11-14,2021-11-14,[],,,0
72,1152.0,2022-09-19,2022-09-19,[],,,0
73,1161.0,2021-12-10,2021-12-10,[],,,0
74,1177.0,2021-11-18,2021-11-19,[1],1.0,0.0,1
75,1181.0,2022-11-11,2022-12-20,"[33, 6]",19.5,13.5,2
76,1213.0,2022-05-11,2022-11-24,"[18, 179]",98.5,80.5,2
77,1227.0,2021-11-15,2021-11-15,[],,,0
78,1237.0,2021-11-16,2021-11-16,[],,,0
79,1252.0,2021-11-16,2021-11-16,[],,,0
80,1256.0,2024-10-05,2024-10-05,[],,,0
81,1265.0,2022-02-04,2022-03-22,"[41, 5]",23.0,18.0,2
