id,score,user_id_x,is_canceled,order_id,customer_related_cancellation,total_orden,paid_by_card,paid_by_cash_and_canceled,cancel_rate,user_id_y,cart_count,user_id,product_count,predicted_score
1,5.0,1.0,508.0,646.0,2.0,11442.23,124.0,356.0,0.7863777089783281,1.0,4.0,1.0,1199.0,4.982898280814598
28,5.0,28.0,0.0,27.0,0.0,218.38,5.0,0.0,0.0,,0.0,28.0,32.0,5.008822496853737
29,5.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,29.0,1.0,4.977766224061604
30,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
31,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
32,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
33,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
34,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
35,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
36,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
37,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
38,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
39,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
41,5.0,41.0,4.0,38.0,0.0,502.82,3.0,3.0,0.10526315789473684,,0.0,41.0,123.0,4.982996061895012
43,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
44,5.0,44.0,1.0,2.0,0.0,0.0,2.0,0.0,0.5,,0.0,44.0,2.0,4.967279833227919
52,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
53,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
54,5.0,54.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,54.0,1.0,4.977766224061604
73,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
75,5.0,75.0,0.0,2.0,0.0,33.99,2.0,0.0,0.0,,0.0,75.0,6.0,4.987111587506751
78,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
